제목,작성자,작성일,조회수,좋아요
N/A,경찰이되고싶어요,N/A,N/A,N/A
백석 유교과 쓰신분들 찾아요!!,제ㅔㅔㅔㅇ,2024.11.11.,102,N/A
N/A,제ㅔㅔㅔㅇ,N/A,N/A,N/A
동국대 사랑해요,채ㅋ,2024.11.11.,1312,N/A
N/A,채ㅋ,N/A,N/A,N/A
중부대 예비 붙을까용..,항상빈곤,2024.11.11.,239,N/A
N/A,항상빈곤,N/A,N/A,N/A
[경기] 아주대 첨단바이오공학,동탄이승현,2024.11.11.,449,N/A
N/A,동탄이승현,N/A,N/A,N/A
[고연대 수시] 연대 진짜 이건 해도해도 너무하네요.,시누리,2024.11.11.,6943,N/A
N/A,시누리,N/A,N/A,N/A
백석대 물치,ㅠ ㅁ ㅠ,2024.11.11.,170,N/A
N/A,ㅠ ㅁ ㅠ,N/A,N/A,N/A
공주대 자율전공,붕어빵빵이,2024.11.11.,95,N/A
N/A,붕어빵빵이,N/A,N/A,N/A
생윤 질문) 레건,06606060600,2024.11.11.,160,N/A
N/A,06606060600,N/A,N/A,N/A
백석대 치위생,가천대기다려라,2024.11.11.,208,N/A
N/A,가천대기다려라,N/A,N/A,N/A
백석대 경찰학부 일반전형 예비 129번,이야오춘,2024.11.11.,151,N/A
N/A,이야오춘,N/A,N/A,N/A
인하대!!!!!!!!!!,유교과25학번이되,2024.11.11.,743,N/A
N/A,유교과25학번이되,N/A,N/A,N/A
아주대 프런티어과학학부,6광탈은피하자,2024.11.11.,748,N/A
N/A,6광탈은피하자,N/A,N/A,N/A
광주교대 작년 면접,choch,2024.11.11.,345,N/A
N/A,choch,N/A,N/A,N/A
영대 시디과,쭫,2024.11.11.,237,N/A
N/A,쭫,N/A,N/A,N/A
지금 시기엔,illililllilll,2024.11.11.,266,N/A
N/A,illililllilll,N/A,N/A,N/A
활우 1차합,ililliiililli,2024.11.11.,1212,N/A
N/A,ililliiililli,N/A,N/A,N/A
연대 활우 저만 에러뜨나요?,waffle1009,2024.11.11.,501,N/A
N/A,waffle1009,N/A,N/A,N/A
아니 무슨 5시가 지낫는데도 안되냐고,농농쓰,2024.11.11.,717,N/A
N/A,농농쓰,N/A,N/A,N/A
동국대 정말 지금 날씨같네여,두리안스무디,2024.11.11.,444,N/A
N/A,두리안스무디,N/A,N/A,N/A
동국 조기발표 떴다 ㄷㄷㄷㄷㄷㄷ,opwondndkwkwl,2024.11.11.,1622,N/A
N/A,opwondndkwkwl,N/A,N/A,N/A
연대 활우 1차 합격,으휴확가,2024.11.11.,1575,N/A
N/A,으휴확가,N/A,N/A,N/A
아으어으악,듀니듀니,2024.11.11.,62,N/A
N/A,듀니듀니,N/A,N/A,N/A
백석대 자율전공 예비,저제발대학갈래요,2024.11.11.,184,N/A
N/A,저제발대학갈래요,N/A,N/A,N/A
대구보건대 응구과 vs 경일대 응구과,uunnuni,2024.11.11.,48,N/A
N/A,uunnuni,N/A,N/A,N/A
권*서 이*주 최*수 학생의 동국대 1차합격을 응원합니다,하운즈디치머리도둑,2024.11.11.,124,N/A
N/A,하운즈디치머리도둑,N/A,N/A,N/A
[동국대] 동대 사랑해요 제발 붙여줘요 발표해줘요 나의 합격을,리얼리티아잇,2024.11.11.,210,N/A
N/A,리얼리티아잇,N/A,N/A,N/A
동국 1차,베리베리베라,2024.11.11.,513,N/A
N/A,베리베리베라,N/A,N/A,N/A
동국대 형님들 저는 동국대 욕 안했어요 저붙여주세요,뤂덕이,2024.11.11.,267,N/A
N/A,뤂덕이,N/A,N/A,N/A
동국대 1차,25제발,2024.11.11.,442,N/A
N/A,25제발,N/A,N/A,N/A
김ㅅㅈ동국대합격기원,셤무새,2024.11.11.,66,N/A
N/A,셤무새,N/A,N/A,N/A
김*은 학생의 동국대 합격과 김*현 학생의 연세대 합격과 허*아 학생의 경인교대 합격과 전*린 학생의 협성대 합격과 송*연 학생의 인하대 합격을 기원합니다 🧡🩵💙,대학갈수있땅땅,2024.11.11.,550,N/A
N/A,대학갈수있땅땅,N/A,N/A,N/A
108배 해야겠다,kimujabcho,2024.11.11.,443,N/A
N/A,kimujabcho,N/A,N/A,N/A
백석대 서류100 떳다! 오늘 발표날 맞음?,찹쌀떡엿가래떡,2024.11.11.,426,N/A
N/A,찹쌀떡엿가래떡,N/A,N/A,N/A
박xx 학생의 동국대 1차 합격을 빌어주세요.,듀냐냐냐,2024.11.11.,67,N/A
N/A,듀냐냐냐,N/A,N/A,N/A
동국대 오늘 조기발표 안할거같네요,콩순이이이이,2024.11.11.,1489,N/A
N/A,콩순이이이이,N/A,N/A,N/A
설대수교붙을수있을까요오..,뚜벅이다,2024.11.11.,222,N/A
N/A,뚜벅이다,N/A,N/A,N/A
한**학생의 동국대 합격을 응원합니다,대학은아모른직다,2024.11.11.,65,N/A
N/A,대학은아모른직다,N/A,N/A,N/A
[고연대 수시] 연대 합격자 발표 페이지,ginny325,2024.11.11.,1520,N/A
N/A,ginny325,N/A,N/A,N/A
이러다 동국대 조기발표 안하면,와와인다재,2024.11.11.,1054,N/A
N/A,와와인다재,N/A,N/A,N/A
이** 학생의 동국대 1차 합격을 기원합니다.,제발회계대학제발,2024.11.11.,181,N/A
N/A,제발회계대학제발,N/A,N/A,N/A
김*연 학생의 동국대 합격을 기원합니다,물리학과보내주세요,2024.11.11.,137,N/A
N/A,물리학과보내주세요,N/A,N/A,N/A
동국대 작년엔 이맘때쯤 떴었는데,yoons004,2024.11.11.,1311,N/A
N/A,yoons004,N/A,N/A,N/A
유** 학생의 동국대 합격을 빌어주세여ㅠㅠㅠ,대학붙여주새요오옹,2024.11.11.,58,N/A
N/A,대학붙여주새요오옹,N/A,N/A,N/A
김현@의 동국대 합격을 응원합니다🍀🍀,신문지쪼가리,2024.11.11.,67,N/A
N/A,신문지쪼가리,N/A,N/A,N/A
[동국대] 김*은 학생 동국대 합격 기원합니다,chungxx,2024.11.11.,207,N/A
N/A,chungxx,N/A,N/A,N/A
부천대,철썩붙고싶어요,2024.11.11.,99,N/A
N/A,철썩붙고싶어요,N/A,N/A,N/A
서버 터졌나요,ylylyloyolylyyll,2024.11.11.,1019,N/A
N/A,ylylyloyolylyyll,N/A,N/A,N/A
작년 예비번호 추가합격이 올해랑 크게 달라질 수 있나요?ㅠ,주차장1,2024.11.11.,312,N/A
N/A,주차장1,N/A,N/A,N/A
시민불복종,대학 딱,2024.11.11.,105,N/A
N/A,대학 딱,N/A,N/A,N/A
최저 없으신 분들,불타는발가락,2024.11.11.,398,N/A
N/A,불타는발가락,N/A,N/A,N/A
동국대 1차 3.5배수였나요?,방울도마도,2024.11.11.,1865,N/A
N/A,방울도마도,N/A,N/A,N/A
한양여대 인식,우주상향다합격,2024.11.11.,710,N/A
N/A,우주상향다합격,N/A,N/A,N/A
백석 조기발표,두니티,2024.11.11.,537,N/A
N/A,두니티,N/A,N/A,N/A
연대 1차 붙었어요ㅜㅜㅠㅠㅠ,올해연대보내줘,2024.11.11.,3258,N/A
N/A,올해연대보내줘,N/A,N/A,N/A
동국 1지망이라 너무 떨려요,고구마말랭이마심졍,2024.11.11.,1241,N/A
N/A,고구마말랭이마심졍,N/A,N/A,N/A
연대 제발 저요,양손민주,2024.11.11.,673,N/A
N/A,양손민주,N/A,N/A,N/A
의류학과 면접 복장,숙대입시러,2024.11.11.,213,N/A
N/A,숙대입시러,N/A,N/A,N/A
[고연대 수시] 연세대 떴어요,judy7233,2024.11.11.,2114,N/A
N/A,judy7233,N/A,N/A,N/A
안가람 엄소연t,덕배팬,2024.11.11.,56,N/A
N/A,덕배팬,N/A,N/A,N/A
뜸,llilililliililll,2024.11.11.,551,N/A
N/A,llilililliililll,N/A,N/A,N/A
신한대 치기공 입결 왜케 높아졌어요 ..?,제발최초합핑,2024.11.11.,634,N/A
N/A,제발최초합핑,N/A,N/A,N/A
"교과 면접 선택과목 면접관님이 알 수 있나요?? 교과면접이면 그냥 선택과목, 표준편차 아예 안 들어가나요",으그각,2024.11.11.,113,N/A
N/A,으그각,N/A,N/A,N/A
대전대 간호,prettybear,2024.11.11.,292,N/A
N/A,prettybear,N/A,N/A,N/A
3일내내 울다가 하나지만 붙었어요 !!!,2973728,2024.11.11.,3154,N/A
N/A,2973728,N/A,N/A,N/A
대전대 간호,내입시성공보장,2024.11.11.,383,N/A
N/A,내입시성공보장,N/A,N/A,N/A
대전대 경찰학과 교과면접 빠지시는분 있나요???,2025경찰행정과준비생,2024.11.11.,101,N/A
N/A,2025경찰행정과준비생,N/A,N/A,N/A
생각잇음나뽑아라,rladuswn,2024.11.11.,301,N/A
N/A,rladuswn,N/A,N/A,N/A
(미대)신한대 실내디자인 예비 3,럭키비킹,2024.11.11.,226,N/A
N/A,럭키비킹,N/A,N/A,N/A
수교과,해피딸기마시멜로우,2024.11.11.,141,N/A
N/A,해피딸기마시멜로우,N/A,N/A,N/A
신한대 k-뷰티학과,붕쁑,2024.11.11.,131,N/A
N/A,붕쁑,N/A,N/A,N/A
대전대 간호학과 최초합했어요!!!!!🍀🍀🍀,6광탈은 아니야,2024.11.11.,772,N/A
N/A,6광탈은 아니야,N/A,N/A,N/A
대전대 법행정 예비8번,금수좌,2024.11.11.,72,N/A
N/A,금수좌,N/A,N/A,N/A
2024 이지영 샤프모의고사 2차 사회문화 답지,수능학살자,2024.11.11.,65,N/A
N/A,수능학살자,N/A,N/A,N/A
남서울,공불어ㅓ려워,2024.11.11.,379,N/A
N/A,공불어ㅓ려워,N/A,N/A,N/A
대전대 경찰학과,dlskarud0908,2024.11.11.,117,N/A
N/A,dlskarud0908,N/A,N/A,N/A
수능 볼까요 말까요ㅠㅠ 의견 부탁해요ㅠㅠ,아모하카,2024.11.11.,1182,N/A
N/A,아모하카,N/A,N/A,N/A
영남권지역에 아직 전남에 대한 차별이 남아있나요??,2hr,2024.11.11.,185,N/A
N/A,2hr,N/A,N/A,N/A
한남대 미디어영상학과,가보제이,2024.11.11.,78,N/A
N/A,가보제이,N/A,N/A,N/A
동덕여대가 공학으로 바뀌면…나머지 여대는,드닝Ol,2024.11.11.,2840,N/A
N/A,드닝Ol,N/A,N/A,N/A
발표수시,ㅇ루룰,2024.11.11.,840,N/A
N/A,ㅇ루룰,N/A,N/A,N/A
지방대 미대 vs 전문대 미대,25학번제발가자,2024.11.11.,584,N/A
N/A,25학번제발가자,N/A,N/A,N/A
신한대 치위생 일반교과 예비,yn12eo,2024.11.11.,261,N/A
N/A,yn12eo,N/A,N/A,N/A
광운대 교과 국통,냥냥냐녕,2024.11.11.,122,N/A
N/A,냥냥냐녕,N/A,N/A,N/A
1차 붙으면 80프로 합격이라는데 맞나요?,우엉차냠냠,2024.11.11.,1481,N/A
N/A,우엉차냠냠,N/A,N/A,N/A
신한대 소융예비,ㅎㅎㅎ호호,2024.11.11.,70,N/A
N/A,ㅎㅎㅎ호호,N/A,N/A,N/A
이틀 일찍 합격발표난 사례가 있나요?,Canado,2024.11.11.,665,N/A
N/A,Canado,N/A,N/A,N/A
광운대 법학 vs 한해대 해양경찰,슬프밈,2024.11.11.,322,N/A
N/A,슬프밈,N/A,N/A,N/A
신한대,햄슈터,2024.11.11.,533,N/A
N/A,햄슈터,N/A,N/A,N/A
미디어 전문대,25학번 이땡땡,2024.11.11.,139,N/A
N/A,25학번 이땡땡,N/A,N/A,N/A
서울대 일반전형 반수러분들,shqococ,2024.11.11.,1249,N/A
N/A,shqococ,N/A,N/A,N/A
가입합니다!,은조98,2024.11.11.,25,N/A
N/A,은조98,N/A,N/A,N/A
신한대 간호 예비,올릭,2024.11.11.,263,N/A
N/A,올릭,N/A,N/A,N/A
대학 고를때 기준,liiliiIIIIIIII,2024.11.11.,119,N/A
N/A,liiliiIIIIIIII,N/A,N/A,N/A
신한대 최초합,고세구균사랑애,2024.11.11.,757,N/A
N/A,고세구균사랑애,N/A,N/A,N/A
떴네요 이제 그냥 기다리는 게 답~,ppappp,2024.11.11.,847,N/A
N/A,ppappp,N/A,N/A,N/A
신한대 간호학과,은빈아대학가자,2024.11.11.,484,N/A
N/A,은빈아대학가자,N/A,N/A,N/A
[최초합]신한대 사회과학대학 면접,0수민0,2024.11.11.,213,N/A
N/A,0수민0,N/A,N/A,N/A
이번 식품영양학과 지원율이 다 폭팔했던데..,올바른카메라,2024.11.11.,384,N/A
N/A,올바른카메라,N/A,N/A,N/A
동국 1차 합격발표,베리베리베라,2024.11.11.,1862,N/A
N/A,베리베리베라,N/A,N/A,N/A
경기대vs서경대vs서울여대,ㄷ나도좀가자,2024.11.11.,646,N/A
N/A,ㄷ나도좀가자,N/A,N/A,N/A
홍익대 붙은사람..,그냥닥,2024.11.11.,493,N/A
N/A,그냥닥,N/A,N/A,N/A
신한대 최초합🍀🍀,괵독,2024.11.11.,587,N/A
N/A,괵독,N/A,N/A,N/A
광운대 전자공학과 최초합,중앙대 25학번 김현준,2024.11.11.,922,N/A
N/A,중앙대 25학번 김현준,N/A,N/A,N/A
[취미공유] 얼마 후면 시험도 끝나는데,김페퍼민트22,2024.11.11.,42,N/A
N/A,김페퍼민트22,N/A,N/A,N/A
2광탈 .. 미칠거같아요 도와주세요,llilllii74,2024.11.11.,759,N/A
N/A,llilllii74,N/A,N/A,N/A
교과산출방식,에뽀루,2024.11.11.,95,N/A
N/A,에뽀루,N/A,N/A,N/A
경희대 네오 1차 조발 난 적 있나요,김원중,2024.11.11.,756,N/A
N/A,김원중,N/A,N/A,N/A
[미대 수시] 전문대 가고 편입 어떤가요?,대학가자1999,2024.11.11.,564,N/A
N/A,대학가자1999,N/A,N/A,N/A
인하대 조기발표 오늘 나나요 ㅠㅠ,공댓시,2024.11.11.,1253,N/A
N/A,공댓시,N/A,N/A,N/A
.,IIlIIlIIllIIlllIl,2024.11.11.,854,N/A
N/A,IIlIIlIIllIIlllIl,N/A,N/A,N/A
하 2분남앗다,ㅡㅜㅜㅜㅡㅠㅍ,2024.11.11.,589,N/A
N/A,ㅡㅜㅜㅜㅡㅠㅍ,N/A,N/A,N/A
사문질문,sygg18,2024.11.11.,81,N/A
N/A,sygg18,N/A,N/A,N/A
신한대제발저요제가아니면안돼요,대학제발쫌가자,2024.11.11.,440,N/A
N/A,대학제발쫌가자,N/A,N/A,N/A
[미대 수시] 홍대 미자전 1차 합격!,원앤온리홍대수시,2024.11.11.,780,N/A
N/A,원앤온리홍대수시,N/A,N/A,N/A
서경대 광고홍보영상학과,keh0913,2024.11.11.,135,N/A
N/A,keh0913,N/A,N/A,N/A
[미대 수시] 홍대 이대 1차 성공..!,익명이고싶다,2024.11.11.,840,N/A
N/A,익명이고싶다,N/A,N/A,N/A
홍대 1차합격💓,수정이가 될래여,2024.11.11.,768,N/A
N/A,수정이가 될래여,N/A,N/A,N/A
동국대 입학처에 문의하지마세요 ㅠㅠ,영y,2024.11.11.,2188,N/A
N/A,영y,N/A,N/A,N/A
수능 영어 질문(현 고2),Kkoni,2024.11.11.,83,N/A
N/A,Kkoni,N/A,N/A,N/A
환경윤리 질문이요,대학 딱,2024.11.11.,78,N/A
N/A,대학 딱,N/A,N/A,N/A
사탐 보통 몇개틀려야 1등급 2등급 받나요?,물어볼데없는고3,2024.11.11.,810,N/A
N/A,물어볼데없는고3,N/A,N/A,N/A
"[2024정시, 2025수시 합격자 배출] 서울예대 영화과 과외생 모집",예대전문입시,2024.11.11.,144,N/A
N/A,예대전문입시,N/A,N/A,N/A
전문대 간호 성적,냥2지,2024.11.11.,304,N/A
N/A,냥2지,N/A,N/A,N/A
"이투스 국어 fit 2,3회 답지 좀 주세요ㅠ",명재현여친,2024.11.11.,15,N/A
N/A,명재현여친,N/A,N/A,N/A
[미대 정시] 정시 등급,Iiiililililililil,2024.11.11.,401,N/A
N/A,Iiiililililililil,N/A,N/A,N/A
[교재] 2025 이감 오프 파이널 간쓸개 시즌6,구름구르,2024.11.11.,61,N/A
N/A,구름구르,N/A,N/A,N/A
월화 둘 다 병결내고 스카에서 공부중,물리 노베1등급 7일컷,2024.11.11.,648,N/A
N/A,물리 노베1등급 7일컷,N/A,N/A,N/A
비타민c 적정실험 질문 있어요!,iliijlijljjij,2024.11.11.,86,N/A
N/A,iliijlijljjij,N/A,N/A,N/A
수원대 기숙사,징징수,2024.11.11.,384,N/A
N/A,징징수,N/A,N/A,N/A
[미대 수시] 청주대 산업디자인,iiilliilililllililii,2024.11.11.,391,N/A
N/A,iiilliilililllililii,N/A,N/A,N/A
사문 도표 질문,sejong un,2024.11.11.,204,N/A
N/A,sejong un,N/A,N/A,N/A
열심히 달려온 딸~~,하늘바리기,2024.11.11.,4288,N/A
N/A,하늘바리기,N/A,N/A,N/A
"[경기] 서울, 경기 전문대 vs 지방 4년제 대학교",은은은지,2024.11.11.,656,N/A
N/A,은은은지,N/A,N/A,N/A
1차떨 많나요?,아기예요,2024.11.11.,968,N/A
N/A,아기예요,N/A,N/A,N/A
덕성여대 자전,Venus00,2024.11.11.,401,N/A
N/A,Venus00,N/A,N/A,N/A
서울여대 vs 명지대,나 한번에 대학 갈래,2024.11.11.,976,N/A
N/A,나 한번에 대학 갈래,N/A,N/A,N/A
추합 가능성?,우와아아앛,2024.11.11.,803,N/A
N/A,우와아아앛,N/A,N/A,N/A
대학 선택,돕이이즈프리,2024.11.11.,294,N/A
N/A,돕이이즈프리,N/A,N/A,N/A
덕성여대 자전,고3최후의끌어치기,2024.11.11.,891,N/A
N/A,고3최후의끌어치기,N/A,N/A,N/A
경기북부 전문대 간호학과 순위 궁금합니다,노눈게좋른데,2024.11.11.,386,N/A
N/A,노눈게좋른데,N/A,N/A,N/A
와대박,Idisjh,2024.11.11.,4713,N/A
N/A,Idisjh,N/A,N/A,N/A
중앙대 cau 어울림,Ilililllliilliiii,2024.11.11.,254,N/A
N/A,Ilililllliilliiii,N/A,N/A,N/A
인하 동덕,yunjin060610,2024.11.11.,1880,N/A
N/A,yunjin060610,N/A,N/A,N/A
홍대면접 a-z,posil,2024.11.11.,76,N/A
N/A,posil,N/A,N/A,N/A
동덕창의리더 결과,공뷰옇심히할걸,2024.11.11.,345,N/A
N/A,공뷰옇심히할걸,N/A,N/A,N/A
사뮨 질문입니다,csy4573,2024.11.11.,79,N/A
N/A,csy4573,N/A,N/A,N/A
수능 가채점표,학종3,2024.11.11.,342,N/A
N/A,학종3,N/A,N/A,N/A
수원대 특성화 경영 빠지실 분..!,행운을주세요제발,2024.11.11.,97,N/A
N/A,행운을주세요제발,N/A,N/A,N/A
[면접] 광운대 동문산 면접 후기,흐흐에에에에,2024.11.11.,436,N/A
N/A,흐흐에에에에,N/A,N/A,N/A
춘천교대 수능 최저 ???,와사비호빵,2024.11.11.,778,N/A
N/A,와사비호빵,N/A,N/A,N/A
[고연대 수시] 이번주에 ud 최종결과 나올까요?,밝은사람1,2024.11.11.,731,N/A
N/A,밝은사람1,N/A,N/A,N/A
덕성여대 수험표,에용니,2024.11.11.,704,N/A
N/A,에용니,N/A,N/A,N/A
EBS 봉투 모의고사 사문,iiliiililiiliilill,2024.11.11.,213,N/A
N/A,iiliiililiiliilill,N/A,N/A,N/A
화이팅,움냠냠냠냠냠,2024.11.11.,36,N/A
N/A,움냠냠냠냠냠,N/A,N/A,N/A
덕성여대,대학가자자자자,2024.11.11.,629,N/A
N/A,대학가자자자자,N/A,N/A,N/A
음악 조별 수행..의견 구합니다.,웃음81,2024.11.11.,115,N/A
N/A,웃음81,N/A,N/A,N/A
경희대쌤의 수능국어 공부법,경희대국어쟁이,2024.11.11.,178,N/A
N/A,경희대국어쟁이,N/A,N/A,N/A
예비 번호 없는데 추합,수맍리,2024.11.11.,740,N/A
N/A,수맍리,N/A,N/A,N/A
화장품학과 순위,Lover66,2024.11.11.,189,N/A
N/A,Lover66,N/A,N/A,N/A
특성화고 23311,새바람님,2024.11.11.,225,N/A
N/A,새바람님,N/A,N/A,N/A
덕성여대 제발 한번만,oOZOom,2024.11.11.,520,N/A
N/A,oOZOom,N/A,N/A,N/A
덕성여대,오오오55555555,2024.11.11.,268,N/A
N/A,오오오55555555,N/A,N/A,N/A
[미대 수시] 예비 빠질 가능성,lliiillliii,2024.11.11.,1044,N/A
N/A,lliiillliii,N/A,N/A,N/A
🍀🍀🍀🍀🍀🍀🍀🍀🍀🍀🍀🍀🍀,지리학,2024.11.11.,208,N/A
N/A,지리학,N/A,N/A,N/A
한국사 수시최저4 관련 빠른 조언.답변 부탁드립니다!!..,한규혁,2024.11.11.,164,N/A
N/A,한규혁,N/A,N/A,N/A
수능 잘 볼 수 있을까요? 답답한 마음에…,등근육,2024.11.11.,243,N/A
N/A,등근육,N/A,N/A,N/A
아주대 서울과기대,삼두컬,2024.11.11.,1335,N/A
N/A,삼두컬,N/A,N/A,N/A
영어 안정 3이 목푠데,대학 딱,2024.11.11.,332,N/A
N/A,대학 딱,N/A,N/A,N/A
우송대 간호 vs 한남대 간호,lee621,2024.11.11.,313,N/A
N/A,lee621,N/A,N/A,N/A
고대 어제 오후 면접..,군사우편,2024.11.11.,1114,N/A
N/A,군사우편,N/A,N/A,N/A
동덕,iillliiilllli,2024.11.11.,946,N/A
N/A,iillliiilllli,N/A,N/A,N/A
동남보건대 다니시는 분,서울로가서공부하자,2024.11.11.,143,N/A
N/A,서울로가서공부하자,N/A,N/A,N/A
1차 떨어지면 2차 전형료 환불 언제 받을 수 있나요?,엄마나일지망붙었어,2024.11.11.,270,N/A
N/A,엄마나일지망붙었어,N/A,N/A,N/A
[동국대] 동국대 두드림 1차 붙으면 보는 화면,동하예프,2024.11.11.,4881,N/A
N/A,동하예프,N/A,N/A,N/A
인하대 공대,dldls222,2024.11.11.,729,N/A
N/A,dldls222,N/A,N/A,N/A
외고,꿈을가져라2014,2024.11.11.,532,N/A
N/A,꿈을가져라2014,N/A,N/A,N/A
신한대,지옥에서온불감자,2024.11.11.,433,N/A
N/A,지옥에서온불감자,N/A,N/A,N/A
계명대 추합 발표언제나오나요?,dlwrr,2024.11.11.,302,N/A
N/A,dlwrr,N/A,N/A,N/A
경기대 바이오 쓰신 분들,엄마정말미안해,2024.11.11.,337,N/A
N/A,엄마정말미안해,N/A,N/A,N/A
인천대 최저학력기준,Oooyui0923,2024.11.11.,406,N/A
N/A,Oooyui0923,N/A,N/A,N/A
춘천교대 지원하신 분들은,와사비호빵,2024.11.11.,517,N/A
N/A,와사비호빵,N/A,N/A,N/A
경희대에서 성균관대 가는 방법,안녕달랄,2024.11.11.,967,N/A
N/A,안녕달랄,N/A,N/A,N/A
성신여대 의류산업학과 자기주도인재 전형 쓰신 분,매뮴,2024.11.11.,190,N/A
N/A,매뮴,N/A,N/A,N/A
안산대 vs 부천대,llliiliillil,2024.11.11.,485,N/A
N/A,llliiliillil,N/A,N/A,N/A
강릉원주대 한림대,ossj060816,2024.11.11.,781,N/A
N/A,ossj060816,N/A,N/A,N/A
답을 안적어 올 경우 가답안 채점은?,투투부장주,2024.11.11.,654,N/A
N/A,투투부장주,N/A,N/A,N/A
[미대 수시] 홍대 수시 1차 발표가 오늘??,SK father,2024.11.11.,1701,N/A
N/A,SK father,N/A,N/A,N/A
대가대 1차발표 언제할까요,johnmayer,2024.11.11.,224,N/A
N/A,johnmayer,N/A,N/A,N/A
인천대 vs 경기대 vs 명지대,로왈이,2024.11.11.,1502,N/A
N/A,로왈이,N/A,N/A,N/A
수시2차 면접없이 학생부 100 인 전문대 알려주세요 !,키야니,2024.11.11.,344,N/A
N/A,키야니,N/A,N/A,N/A
성신 면접 가시는 분들,skxjsodo,2024.11.11.,533,N/A
N/A,skxjsodo,N/A,N/A,N/A
다들 요즘 심정이 어떤지,합격시켜주세요갈거야,2024.11.11.,683,N/A
N/A,합격시켜주세요갈거야,N/A,N/A,N/A
수능 궁금한 점,joleuu,2024.11.11.,531,N/A
N/A,joleuu,N/A,N/A,N/A
화작실수 안하는법!!,인생은 쓰,2024.11.11.,244,N/A
N/A,인생은 쓰,N/A,N/A,N/A
사문 이런 문제는 어떻게 푸는건가요,헬창맛큐키,2024.11.11.,381,N/A
N/A,헬창맛큐키,N/A,N/A,N/A
사문 질문,헬창맛큐키,2024.11.11.,137,N/A
N/A,헬창맛큐키,N/A,N/A,N/A
고민 ㅜ ㅜ,흐라라랄,2024.11.11.,54,N/A
N/A,흐라라랄,N/A,N/A,N/A
인제대 의대 면접 필승 비법 - 내 경험 잘 이야기하기,르클,2024.11.11.,409,N/A
N/A,르클,N/A,N/A,N/A
고대 계적 인문 ‘직업윤리‘,Allpasssssible,2024.11.11.,331,N/A
N/A,Allpasssssible,N/A,N/A,N/A
하 왜 안떨리지,김soso,2024.11.11.,340,N/A
N/A,김soso,N/A,N/A,N/A
[네이버] 임시적으로 게시가 중단된 게시글 입니다.,ghjkl8264,2024.11.11.,84,N/A
N/A,ghjkl8264,N/A,N/A,N/A
고2 지방외고 4등급대…,보보이모,2024.11.11.,1076,N/A
N/A,보보이모,N/A,N/A,N/A
인하대 노예가되,유교과25학번이되,2024.11.11.,1022,N/A
N/A,유교과25학번이되,N/A,N/A,N/A
임상병리학과 ㄷ 간호학과,대학레츠끼끼,2024.11.11.,190,N/A
N/A,대학레츠끼끼,N/A,N/A,N/A
간호학과 ㄷ 임상병리학과,대학레츠끼끼,2024.11.11.,297,N/A
N/A,대학레츠끼끼,N/A,N/A,N/A
[대전] 충남대 해양안보학과 면접,이건내전공이아니다,2024.11.11.,99,N/A
N/A,이건내전공이아니다,N/A,N/A,N/A
"심찬우 2025 기테마1.0,2.0,고전소설",Dnjdjd,2024.11.11.,22,N/A
N/A,Dnjdjd,N/A,N/A,N/A
화작vs언매,현역문과정시,2024.11.11.,155,N/A
N/A,현역문과정시,N/A,N/A,N/A
동국대 학추는 조발 한 적 없나요?,IlIllIllIlIlIIl,2024.11.11.,563,N/A
N/A,IlIllIllIlIlIIl,N/A,N/A,N/A
[동국대] 제발동국대붙게해주세요,내 꿈은 25학번,2024.11.11.,390,N/A
N/A,내 꿈은 25학번,N/A,N/A,N/A
외고 5점대 후반인걸 대학에서,기회는충분해,2024.11.10.,647,N/A
N/A,기회는충분해,N/A,N/A,N/A
윤사 수능 얼마나 어렵게 나올까요?,간호 25,2024.11.10.,213,N/A
N/A,간호 25,N/A,N/A,N/A
올해는.,인생은 쓰,2024.11.10.,94,N/A
N/A,인생은 쓰,N/A,N/A,N/A
수능 도시락,냠냠냠쩝쩝쩝,2024.11.10.,462,N/A
N/A,냠냠냠쩝쩝쩝,N/A,N/A,N/A
대학순위,iliilllilliiili,2024.11.10.,899,N/A
N/A,iliilllilliiili,N/A,N/A,N/A
학종 컨설팅,llllllIIIiiiiiiill,2024.11.10.,231,N/A
N/A,llllllIIIiiiiiiill,N/A,N/A,N/A
[미대 수시] 홍대 미대 최저맞추고 면접에서 불합될 가능성?,원앤온리홍대수시,2024.11.10.,928,N/A
N/A,원앤온리홍대수시,N/A,N/A,N/A
기말내신을 고3 2023년9월에실시한평가원영어를 변형.서술형대비문제집문의합니다.,iamyoonk,2024.11.10.,28,N/A
N/A,iamyoonk,N/A,N/A,N/A
국어 비문학 계속 틀리는 문제,lliillili,2024.11.10.,153,N/A
N/A,lliillili,N/A,N/A,N/A
가톨릭 잠재우수자 서류 전형,민ㄱㅣㅇ,2024.11.10.,138,N/A
N/A,민ㄱㅣㅇ,N/A,N/A,N/A
현돌 다지선다 모고 3회 11번 오류?,농뇨로뇽,2024.11.10.,118,N/A
N/A,농뇨로뇽,N/A,N/A,N/A
고전시소설질문,인생은 쓰,2024.11.10.,39,N/A
N/A,인생은 쓰,N/A,N/A,N/A
임정환 리얼모고 35점이면,기회는충분해,2024.11.10.,164,N/A
N/A,기회는충분해,N/A,N/A,N/A
노직이 궁극적 목적은 자유와 평등의 확립에 있는가를 부정하는 이유가 뭔가요?,공육이에요,2024.11.10.,43,N/A
